Long,Lat,Depth
-96.384503,50.954455,0
-96.377293,50.967646,0
-96.387593,50.982346,0
-96.392399,50.99272,0
-96.388458,51.005253,0
-96.397384,51.014541,0
-96.400817,51.026851,0
-96.393607,51.034624,0
-96.399787,51.047792,0
-96.41043,51.056209,0
-96.422447,51.06182,0
-96.446136,51.073038,0
-96.43515,51.095683,0
-96.41146,51.100858,0
-96.398414,51.109696,0
-96.374725,51.107756,0
-96.365455,51.115085,0
-96.346572,51.115731,0
-96.317046,51.108834,0
-96.312927,51.11336,0
-96.339019,51.120903,0
-96.349319,51.125859,0
-96.354812,51.141156,0
-96.376098,51.143094,0
-96.399787,51.147402,0
-96.408197,51.156505,0
-96.388628,51.16684,0
-96.363909,51.181261,0
-96.358072,51.187717,0
-96.306917,51.192666,0
-96.282198,51.191375,0
-96.260569,51.193742,0
-96.268808,51.20665,0
-96.291124,51.229874,0
-96.312716,51.250326,0
-96.332629,51.268588,0
-96.345332,51.287916,0
-96.37128,51.310833,0
-96.386043,51.323064,0
-96.410419,51.338295,0
-96.444408,51.340868,0
-96.476394,51.357406,0
-96.498023,51.383768,0
-96.516906,51.401121,0
-96.524587,51.419614,0
-96.52905,51.439949,0
-96.547589,51.458564,0
-96.568189,51.469472,0
-96.594713,51.487526,0
-96.600206,51.503985,0
-96.602953,51.52535,0
-96.608103,51.543716,0
-96.587847,51.531117,0
-96.572397,51.517446,0
-96.552828,51.522573,0
-96.544245,51.533893,0
-96.574801,51.561862,0
-96.60659,51.589842,0
-96.641953,51.615218,0
-96.675743,51.641095,0
-96.712479,51.669211,0
-96.740974,51.687093,0
-96.74586,51.710761,0
-96.790148,51.738834,0
-96.820017,51.756476,0
-96.806971,51.764339,0
-96.758906,51.764551,0
-96.731097,51.772837,0
-96.72423,51.783245,0
-96.717707,51.807452,0
-96.716677,51.820844,0
-96.732813,51.83209,0
-96.744486,51.843121,0
-96.767146,51.842909,0
-96.777102,51.861571,0
-96.804911,51.859662,0
-96.84611,51.857118,0
-96.875979,51.859662,0
-96.886622,51.866447,0
-96.885249,51.878953,0
-96.874982,51.896555,0
-96.856786,51.913289,0
-96.82829,51.928746,0
-96.822454,51.941235,0
-96.833097,51.949277,0
-96.840306,51.967472,0
-96.857816,51.976778,0
-96.879131,51.992946,0
-96.884968,52.008587,0
-96.91106,52.026124,0
-96.934406,52.039853,0
-96.967708,52.051889,0
-96.974388,52.053268,0
-96.981254,52.065512,0
-96.971641,52.084081,0
-96.976104,52.102643,0
-96.992927,52.10686,0
-97.002293,52.124479,0
-97.027012,52.137967,0
-97.052762,52.155875,0
-97.045881,52.17053,0
-97.047769,52.183583,0
-97.073519,52.198526,0
-97.081072,52.214095,0
-97.099268,52.229028,0
-97.119181,52.244166,0
-97.093431,52.243115,0
-97.066996,52.241223,0
-97.049829,52.243746,0
-97.03026,52.242695,0
-97.012407,52.249842,0
-97.002451,52.262872,0
-97.003481,52.274847,0
-97.01584,52.276318,0
-97.025797,52.28955,0
-97.036615,52.312475,0
-97.053781,52.324437,0
-97.075411,52.325067,0
-97.093607,52.322968,0
-97.080217,52.33241,0
-97.066141,52.34185,0
-97.054125,52.348562,0
-97.024599,52.345416,0
-97.010523,52.349401,0
-97.016702,52.357159,0
-97.033182,52.354434,0
-97.039705,52.365546,0
-97.060991,52.369529,0
-97.067858,52.376446,0
-97.062536,52.381615,0
-97.046056,52.382873,0
-97.03404,52.397539,0
-97.030607,52.414086,0
